þû×?þû00000000	00000000	00 | 1500
00000000000316	-0001284	-0 | 1500
00006400000316	-0001284	-0 | 1500
00006400000316	-0001284	-0 | 1500
00006400000316	-0001284	-0 | 1500
00006400000316	-0001184	-0 | 1500
00005900000316	-0001184	-0 | 1500
00005900000316	-0001184	-0 | 1500
00005900000316	-0001184	-0 | 1500
00005900000316	-0001184	-0 | 1500
00005900000315	-0001185	-0 | 1500
00005900000315	-0001185	-0 | 1500
00005900000315	-0001185	-0 | 1500
00005900000315	-0001185	-0 | 1500
00005900000315	-0001185	-0 | 1500
00005900000315	-0001185	-0 | 1500
00005900000315	-0001185	-0 | 1500
00005900000315	-0001185	-0 | 1500
00005900000315	-0001185	-0 | 1500
00005900000316	-0001184	-0 | 1500
00005900000316	-0001184	-0 | 1500
00005900000316	-0001184	-0 | 1500
00005900000316	-0001184	-0 | 1500
00005900000316	-0001184	-0 | 1500
00005900000316	-0001184	-0 | 1500
00005900000316	-0001184	-0 | 1500
00005900000316	-0001184	-0 | 1500
00005900000316	-0001184	-0 | 1500
00005900000315	-0001185	-0 | 1500
00005900000315	-0001185	-0 | 1500
00005900000315	-0001185	-0 | 1500
00005900000315	-0001185	-0 | 1500
00005900000316	-0001184	-0 | 1500
00005900000316	-0001184	-0 | 1500
00005900000316	-0001184	-0 | 1500
00005900000316	-0001184	-0 | 1500
00005900000316	-0001184	-0 | 1500
00005900000316	-0001184	-0 | 1500
00005900000316	-0001184	-0 | 1500
00005900000316	-0001184	-0 | 1500
00005900000316	-0001184	-0 | 1500
00005900000316	-0001184	-0 | 1500
00005900000316	-0001184	-0 | 1500
00005900000316	-0001184	-0 | 1500
00005900000316	-0001184	-0 | 1500
00005900000316	-0001184	-0 | 1500
00005900000316	-0001184	-0 | 1500
00005900000316	-0001184	-0 | 1500
00005900000316	-0001184	-0 | 1500
00005900000316	-0001184	-0 | 1500
00005900000316	-0001184	-0 | 1500
00005900000316	-0001184	-0 | 1500
00005900000316	-0001184	-0 | 1500
00005900000317	-0001183	-0 | 1500
00005900000317	-0001183	-0 | 1500
00005900000317	-0001183	-0 | 1500
00005900000317	-0001183	-0 | 1500
00005900000316	-0001184	-0 | 1500
00005900000316	-0001184	-0 | 1500
00005900000316	-0001184	-0 | 1500
00005900000316	-0001184	-0 | 1500
00005900000316	-0001184	-0 | 1500
00005900000316	-0001184	-0 | 1500
00005900000316	-0001184	-0 | 1500
00005900000316	-0001184	-0 | 1500
00005900000316	-0001184	-0 | 1500
00005900000316	-0001184	-0 | 1500
00005900000316	-0001184	-0 | 1500
00005900000316	-0001184	-0 | 1500
00005900000316	-0001184	-0 | 1500
00005900000316	-0001184	-0 | 1500
00005900000316	-0001184	-0 | 1500
00005900000316	-0001184	-0 | 1500
00005900000316	-0001184	-0 | 1500
00005900000316	-0001184	-0 | 1500
00005900000316	-0001184	-0 | 1500
00005900000316	-0001184	-0 | 1500
00005900000316	-0001184	-0 | 1500
00005900000316	-0001184	-0 | 1500
00005900000316	-0001184	-0 | 1500
00005900000316	-0001184	-0 | 1500
00005900000316	-0001184	-0 | 1500
00005900000316	-0001184	-0 | 1500
00005900000316	-0001184	-0 | 1500
00005900000317	-0001183	-0 | 1500
00005900000317	-0001183	-0 | 1500
00005900000317	-0001183	-0 | 1500
00005900000317	-0001183	-0 | 1500
00005900000316	-0001184	-0 | 1500
00005900000316	-0001184	-0 | 1500
00005900000316	-0001184	-0 | 1500
00005900000316	-0001184	-0 | 1500
00005900000316	-0001184	-0 | 1500
00005900000316	-0001184	-0 | 1500
00005900000316	-0001184	-0 | 1500
00005900000316	-0001184	-0 | 1500
00005900000317	-0001183	-0 | 1500
00005900000317	-0001183	-0 | 1500
00005900000317	-0001183	-0 | 1500
00005900000317	-0001183	-0 | 1500
00005900000317	-0001183	-0 | 1500
00005900000316	-0001184	-0 | 1500
00005900000316	-0001184	-0 | 1500
00005900000316	-0001184	-0 | 1500
00005900000316	-0001184	-0 | 1500
00005900000316	-0001184	-0 | 1500
00005900000316	-0001184	-0 | 1500
00005900000316	-0001184	-0 | 1500
00005900000316	-0001184	-0 | 1500
00005900000316	-0001184	-0 | 1500
00005900000317	-0001183	-0 | 1500
00005900000317	-0001183	-0 | 1500
00005900000317	-0001183	-0 | 1500
00005900000317	-0001183	-0 | 1500
00005900000317	-0001183	-0 | 1500
00005900000316	-0001184	-0 | 1500
00005900000316	-0001184	-0 | 1500
00005900000316	-0001184	-0 | 1500
00005900000316	-0001184	-0 | 1500
00005900000316	-0001184	-0 | 1500
00005900000317	-0001183	-0 | 1500
00005900000317	-0001183	-0 | 1500
00005900000317	-0001183	-0 | 1500
00005900000317	-0001183	-0 | 1500
00005900000317	-0001183	-0 | 1500
00005900000317	-0001183	-0 | 1500
00005900000317	-0001183	-0 | 1500
00005900000317	-0001183	-0 | 1500
00005900000317	-0001183	-0 | 1500
00005900000317	-0001183	-0 | 1500
00005900000317	-0001183	-0 | 1500
00005900000317	-0001183	-0 | 1500
00005900000317	-0001183	-0 | 1500
00005900000317	-0001183	-0 | 1500
00005900000317	-0001183	-0 | 1500
00005900000317	-0001183	-0 | 1500
00005900000317	-0001183	-0 | 1500
00005900000316	-0001184	-0 | 1500
00005900000316	-0001184	-0 | 1500
00005900000316	-0001184	-0 | 1500
00005900000316	-0001184	-0 | 1500
00005900000316	-0001184	-0 | 1500
00005900000317	-0001183	-0 | 1500
00005900000317	-0001183	-0 | 1500
00005900000317	-0001183	-0 | 1500
00005900000317	-0001183	-0 | 1500
00005900000316	-0001184	-0 | 1500
00005900000316	-0001184	-0 | 1500
00005900000316	-0001184	-0 | 1500
00005900000316	-0001184	-0 | 1500
00005900000317	-0001183	-0 | 1500
