70000002018	02016.00	00002040	02038, P:1.000000 I:0.001000 D:0.040000, 2000, 1500
.0000002017	02015.00	00002040	02038, P:1.000000 I:0.001000 D:0.040000, 2000, 1500
.0000002018	02016.00	00002040	02038, P:1.000000 I:0.001000 D:0.040000, 2000, 1500
.0000002018	02016.00	00002040	02038, P:1.000000 I:0.001000 D:0.040000, 2000, 1500
.0000002018	02016.00	00002040	02038, P:1.000000 I:0.001000 D:0.040000, 2000, 1500
.0000002018	02016.00	00002040	02038, P:1.000000 I:0.001000 D:0.040000, 2000, 1500
.0000002018	02016.00	00002040	02038, P:1.000000 I:0.001000 D:0.040000, 2000, 1500
.0000002000002018	02016.00	00002040, P:1.000000 I:0.001000 D:0.040000, 2000, 1500
	02038.0018	02016.00	000000002018	0, P:1.000000 I:0.001000 D:0.040000, 2000, 1500
2016.00	00002040	02038.002040	02038, P:1.000000 I:0.001000 D:0.040000, 2000, 1500
.0000002018	02016.00	00002040	02038, P:1.000000 I:0.001000 D:0.040000, 2000, 1500
.0000002018	02016.00	00002040	02038, P:1.000000 I:0.001000 D:0.040000, 2000, 1500
.0000002018	02016.00	00002040	02038, P:1.000000 I:0.001000 D:0.040000, 2000, 1500
.0000002018	02016.00	00002040	02038, P:1.000000 I:0.001000 D:0.040000, 2000, 1500
.0000002018	02016.00	00002040	02038, P:1.000000 I:0.001000 D:0.040000, 2000, 1500
.0000002018	02016.00	00002040	02038, P:1.000000 I:0.001000 D:0.040000, 2000, 1500
.0000002018	02016.00	00002040	02038, P:1.000000 I:0.001000 D:0.040000, 2000, 1500
.0000002018	02016.00	00002040	02038, P:1.000000 I:0.001000 D:0.040000, 2000, 1500
.0000002018	02016.00	00002040	02038, P:1.000000 I:0.001000 D:0.040000, 2000, 1500
.0000002018	02016.00	00002040	02038, P:1.000000 I:0.001000 D:0.040000, 2000, 1500
.0000002018	02016.00	00002040	02038, P:1.000000 I:0.001000 D:0.040000, 2000, 1500
.0000002018	02016.00	00002040	02038, P:1.000000 I:0.001000 D:0.040000, 2000, 1500
.0000002018	02016.00	00002040	02000, P:1.000000 I:0.001000 D:0.040000, 2000, 1500
02018	02016.00	00002040	02038.00038, P:1.000000 I:0.001000 D:0.040000, 2000, 1500
.0000002018	02016.00	00002040	02038, P:1.000000 I:0.001000 D:0.040000, 2000, 1500
.0000002018	02016.00	00002040	02038, P:1.000000 I:0.001000 D:0.040000, 2000, 1500
.0000002018	02016.00	00002040	02038, P:1.000000 I:0.001000 D:0.040000, 2000, 1500
.0000002018	02016.00	00002040	02038, P:1.000000 I:0.001000 D:0.040000, 2000, 1500
.0000002018	02016.00	00002040	02038, P:1.000000 I:0.001000 D:0.040000, 2000, 1500
.0000002018	02016.00	00002040	02038, P:1.000000 I:0.001000 D:0.040000, 2000, 1500
.0000002018	02016.00	00002040	02038, P:1.000000 I:0.001000 D:0.040000, 2000, 1500
.0000002018	02016.00	00002040	02038, P:1.000000 I:0.001000 D:0.040000, 2000, 1500
.0000002018	02016.00	00002040	02038, P:1.000000 I:0.001000 D:0.040000, 2000, 1500
.0000002018	02016.00	00002040	02038, P:1.000000 I:0.001000 D:0.040000, 2000, 1500
.0000002018	02016.00	00002040	02038, P:1.000000 I:0.001000 D:0.040000, 2000, 1500
.0000002018	02016.00	00002040	02038, P:1.000000 I:0.001000 D:0.040000, 2000, 1500
.0000002017	02016.00	00002040	02038, P:1.000000 I:0.001000 D:0.040000, 2000, 1500
.0000002017	02015.00	00002040	02038, P:1.000000 I:0.001000 D:0.040000, 2000, 1500
.0000002017	02015.00	00002040	02038, P:1.000000 I:0.001000 D:0.040000, 2000, 1500
.0000002017	02015.00	00002040	02038, P:1.000000 I:0.001000 D:0.040000, 2000, 1500
.0000002017	02015.00	00002040	02038, P:1.000000 I:0.001000 D:0.040000, 2000, 1500
.0000002017	02015.00	00002040	02038, P:1.000000 I:0.001000 D:0.040000, 2000, 1500
.0000002017	02015.00	00002040	02038, P:1.000000 I:0.001000 D:0.040000, 2000, 1500
.0000002001	02015.00	00002040	02038, P:1.000000 I:0.001000 D:0.040000, 2000, 1500
.0000002001	02015.00	00002032	02038, P:1.000000 I:0.001000 D:0.040000, 2000, 1500
.0000002001	02015.00	00002032	02030, P:1.000000 I:0.001000 D:0.040000, 2000, 1500
.0000002001	02015.00	00002032	02030, P:1.000000 I:0.001000 D:0.040000, 2000, 1500
.0000002001	02015.00	00002032	02030, P:1.000000 I:0.001000 D:0.040000, 2000, 1500
